Series Name,Series Code,Country Name,Country Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,East Asia & Pacific,EAS,2752.34687073673,3037.89452928695,3446.59357744315,3283.93000694565,3102.15244678621,2744.19053576017,3075.93421599461,3324.02488364255,3118.79032013799,3265.52618292269,3739.96703951389,4286.9789672148,4687.77553201905,5183.5801709299,6134.36946548901,7327.94859349736,7786.17409643528,9020.28065343231,10399.1547923847,7335.20794027468,7300.24871806526,7496.85121814077,7394.29053752074,7642.14406830328,8111.71985394263,8644.18632831658,8780.80688884627,8651.92278297836
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Latin America & Caribbean,LCN,2750.26038671569,3183.54373017867,3333.75028072017,3556.35216103732,3843.96872334286,3802.8919323474,3322.1046614446,3613.07622021957,3480.24511310763,3044.90603421775,3024.56420392825,3404.26224616259,4063.7917758531,4749.10921188307,5606.5265538612,6453.01314645067,6070.85736630776,7404.70365355574,8284.37933449542,8285.42055034832,8466.95291659153,8558.48870514511,7214.69687245346,6954.76144017327,7637.80930976941,7270.63684953851,7111.99331853999,5853.53765807221
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Middle East & North Africa,MEA,1901.45071771142,1923.86549757121,2149.57783909456,2345.65824052318,2441.08218422858,2386.57145428864,2495.99256964173,2624.55258292542,2637.06695777273,2607.04633943708,2787.63783513197,3210.8153623649,3676.84670048133,4274.65860801332,5061.23334291076,6031.68488600703,5554.28275513827,6305.7595860114,6615.42537286477,7028.6973958739,6853.34250489332,6835.95854289082,6093.81368053662,6091.14130204499,6134.82351592759,6156.75973867479,6192.50419431912,5597.98715088148
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Sub-Saharan Africa,SSF,468.655801267015,444.923210003749,506.084265396807,510.097980822011,521.745094471152,498.16344209615,493.350230132481,490.974130431811,461.399945299511,489.506749283978,601.288060863795,720.830503161679,818.834587237316,951.3902406502,1043.35228916488,1109.1187927779,1111.62119844176,1243.95471821501,1340.67614088283,1381.63452833686,1451.07715593396,1495.08278760711,1382.64680679013,1265.23924740431,1293.13464360241,1314.48569601415,1325.77146422268,1230.17628090037
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Asia,SAS,278.291930503033,310.415631541265,337.315118003992,362.392849500813,372.138522905639,372.030296607351,390.28783921154,400.281809854214,403.321233210411,416.046296824091,478.447911952854,543.611052627687,609.452201512506,680.989478400838,840.522591242562,831.754681942505,916.561182394284,1102.88195081832,1201.34413897517,1201.35151484576,1214.31629705522,1320.74396812657,1372.2589991595,1460.16571421089,1657.69269187992,1677.31721055735,1747.86236665029,1630.50131435958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
